selected,segment_role,from_vertex,to_vertex,from_slot,to_slot,from_limit,to_limit,anchor_limit,same_anchor_limit,target_endpoint_anchored,source_endpoint_anchored,source_limit_distance,target_limit_distance,total_limit_distance,edge_id,edge_index,selection_score
False,03_09,3:23,9:23,3,9,23,23,23,True,True,True,0,0,0,tuple_edge_611,611,0|0|0|0|611
False,03_09,3:22,9:22,3,9,22,22,23,False,False,False,1,1,2,tuple_edge_607,607,1|1|1|2|607
False,03_09,3:24,9:24,3,9,24,24,23,False,False,False,1,1,2,tuple_edge_614,614,1|1|1|2|614
False,03_09,3:21,9:21,3,9,21,21,23,False,False,False,2,2,4,tuple_edge_601,601,1|1|2|4|601
False,03_09,3:25,9:25,3,9,25,25,23,False,False,False,2,2,4,tuple_edge_618,618,1|1|2|4|618
False,03_09,3:20,9:20,3,9,20,20,23,False,False,False,3,3,6,tuple_edge_595,595,1|1|3|6|595
False,03_09,3:26,9:26,3,9,26,26,23,False,False,False,3,3,6,tuple_edge_621,621,1|1|3|6|621
False,03_09,3:19,9:19,3,9,19,19,23,False,False,False,4,4,8,tuple_edge_576,576,1|1|4|8|576
False,03_09,3:27,9:27,3,9,27,27,23,False,False,False,4,4,8,tuple_edge_625,625,1|1|4|8|625
False,03_09,3:18,9:18,3,9,18,18,23,False,False,False,5,5,10,tuple_edge_570,570,1|1|5|10|570
False,03_09,3:28,9:28,3,9,28,28,23,False,False,False,5,5,10,tuple_edge_631,631,1|1|5|10|631
False,03_09,3:17,9:17,3,9,17,17,23,False,False,False,6,6,12,tuple_edge_564,564,1|1|6|12|564
False,03_09,3:29,9:29,3,9,29,29,23,False,False,False,6,6,12,tuple_edge_637,637,1|1|6|12|637
False,03_09,3:16,9:16,3,9,16,16,23,False,False,False,7,7,14,tuple_edge_559,559,1|1|7|14|559
False,03_09,3:30,9:30,3,9,30,30,23,False,False,False,7,7,14,tuple_edge_646,646,1|1|7|14|646
False,03_09,3:15,9:15,3,9,15,15,23,False,False,False,8,8,16,tuple_edge_554,554,1|1|8|16|554
False,03_09,3:31,9:31,3,9,31,31,23,False,False,False,8,8,16,tuple_edge_652,652,1|1|8|16|652
False,03_09,3:14,9:14,3,9,14,14,23,False,False,False,9,9,18,tuple_edge_549,549,1|1|9|18|549
False,03_09,3:32,9:32,3,9,32,32,23,False,False,False,9,9,18,tuple_edge_658,658,1|1|9|18|658
False,03_09,3:13,9:13,3,9,13,13,23,False,False,False,10,10,20,tuple_edge_543,543,1|1|10|20|543
False,03_09,3:33,9:33,3,9,33,33,23,False,False,False,10,10,20,tuple_edge_662,662,1|1|10|20|662
False,03_09,3:12,9:12,3,9,12,12,23,False,False,False,11,11,22,tuple_edge_536,536,1|1|11|22|536
False,03_09,3:34,9:34,3,9,34,34,23,False,False,False,11,11,22,tuple_edge_665,665,1|1|11|22|665
False,03_09,3:11,9:11,3,9,11,11,23,False,False,False,12,12,24,tuple_edge_529,529,1|1|12|24|529
False,03_09,3:35,9:35,3,9,35,35,23,False,False,False,12,12,24,tuple_edge_669,669,1|1|12|24|669
False,03_09,3:10,9:10,3,9,10,10,23,False,False,False,13,13,26,tuple_edge_523,523,1|1|13|26|523
False,03_09,3:36,9:36,3,9,36,36,23,False,False,False,13,13,26,tuple_edge_672,672,1|1|13|26|672
False,03_09,3:9,9:9,3,9,9,9,23,False,False,False,14,14,28,tuple_edge_511,511,1|1|14|28|511
False,03_09,3:37,9:37,3,9,37,37,23,False,False,False,14,14,28,tuple_edge_676,676,1|1|14|28|676
False,03_09,3:8,9:8,3,9,8,8,23,False,False,False,15,15,30,tuple_edge_504,504,1|1|15|30|504
False,03_09,3:38,9:38,3,9,38,38,23,False,False,False,15,15,30,tuple_edge_682,682,1|1|15|30|682
False,03_09,3:7,9:7,3,9,7,7,23,False,False,False,16,16,32,tuple_edge_497,497,1|1|16|32|497
False,03_09,3:39,9:39,3,9,39,39,23,False,False,False,16,16,32,tuple_edge_688,688,1|1|16|32|688
False,03_09,3:6,9:6,3,9,6,6,23,False,False,False,17,17,34,tuple_edge_490,490,1|1|17|34|490
False,03_09,3:40,9:40,3,9,40,40,23,False,False,False,17,17,34,tuple_edge_699,699,1|1|17|34|699
False,03_09,3:5,9:5,3,9,5,5,23,False,False,False,18,18,36,tuple_edge_483,483,1|1|18|36|483
False,03_09,3:41,9:41,3,9,41,41,23,False,False,False,18,18,36,tuple_edge_705,705,1|1|18|36|705
False,03_09,3:4,9:4,3,9,4,4,23,False,False,False,19,19,38,tuple_edge_476,476,1|1|19|38|476
False,03_09,3:42,9:42,3,9,42,42,23,False,False,False,19,19,38,tuple_edge_711,711,1|1|19|38|711
False,03_09,3:3,9:3,3,9,3,3,23,False,False,False,20,20,40,tuple_edge_469,469,1|1|20|40|469
False,03_09,3:43,9:43,3,9,43,43,23,False,False,False,20,20,40,tuple_edge_715,715,1|1|20|40|715
False,03_09,3:2,9:2,3,9,2,2,23,False,False,False,21,21,42,tuple_edge_462,462,1|1|21|42|462
False,03_09,3:44,9:44,3,9,44,44,23,False,False,False,21,21,42,tuple_edge_718,718,1|1|21|42|718
False,03_09,3:1,9:1,3,9,1,1,23,False,False,False,22,22,44,tuple_edge_455,455,1|1|22|44|455
False,03_09,3:45,9:45,3,9,45,45,23,False,False,False,22,22,44,tuple_edge_722,722,1|1|22|44|722
False,03_09,3:0,9:0,3,9,0,0,23,False,False,False,23,23,46,tuple_edge_448,448,1|1|23|46|448
False,03_09,3:46,9:46,3,9,46,46,23,False,False,False,23,23,46,tuple_edge_725,725,1|1|23|46|725
False,03_09,3:47,9:47,3,9,47,47,23,False,False,False,24,24,48,tuple_edge_729,729,1|1|24|48|729
False,03_09,3:48,9:48,3,9,48,48,23,False,False,False,25,25,50,tuple_edge_735,735,1|1|25|50|735
False,03_09,3:49,9:49,3,9,49,49,23,False,False,False,26,26,52,tuple_edge_741,741,1|1|26|52|741
False,03_09,3:50,9:50,3,9,50,50,23,False,False,False,27,27,54,tuple_edge_751,751,1|1|27|54|751
False,03_09,3:51,9:51,3,9,51,51,23,False,False,False,28,28,56,tuple_edge_755,755,1|1|28|56|755
False,03_09,3:52,9:52,3,9,52,52,23,False,False,False,29,29,58,tuple_edge_760,760,1|1|29|58|760
False,03_09,3:53,9:53,3,9,53,53,23,False,False,False,30,30,60,tuple_edge_764,764,1|1|30|60|764
False,03_09,3:54,9:54,3,9,54,54,23,False,False,False,31,31,62,tuple_edge_767,767,1|1|31|62|767
False,03_09,3:55,9:55,3,9,55,55,23,False,False,False,32,32,64,tuple_edge_770,770,1|1|32|64|770
False,03_09,3:56,9:56,3,9,56,56,23,False,False,False,33,33,66,tuple_edge_773,773,1|1|33|66|773
False,03_09,3:57,9:57,3,9,57,57,23,False,False,False,34,34,68,tuple_edge_776,776,1|1|34|68|776
False,03_09,3:58,9:58,3,9,58,58,23,False,False,False,35,35,70,tuple_edge_779,779,1|1|35|70|779
False,03_09,3:59,9:59,3,9,59,59,23,False,False,False,36,36,72,tuple_edge_782,782,1|1|36|72|782
False,09_12,9:54,12:24,9,12,54,24,24,False,True,False,30,0,30,tuple_edge_2425,2425,1|0|30|30|2425
False,09_12,9:24,12:54,9,12,24,54,24,False,False,True,0,30,30,tuple_edge_2309,2309,1|1|0|30|2309
False,09_12,9:23,12:53,9,12,23,53,24,False,False,False,1,29,30,tuple_edge_2307,2307,1|1|1|30|2307
False,09_12,9:25,12:55,9,12,25,55,24,False,False,False,1,31,32,tuple_edge_2312,2312,1|1|1|32|2312
False,09_12,9:22,12:52,9,12,22,52,24,False,False,False,2,28,30,tuple_edge_2304,2304,1|1|2|30|2304
False,09_12,9:26,12:56,9,12,26,56,24,False,False,False,2,32,34,tuple_edge_2314,2314,1|1|2|34|2314
False,09_12,9:21,12:51,9,12,21,51,24,False,False,False,3,27,30,tuple_edge_2299,2299,1|1|3|30|2299
False,09_12,9:27,12:57,9,12,27,57,24,False,False,False,3,33,36,tuple_edge_2317,2317,1|1|3|36|2317
False,09_12,9:20,12:50,9,12,20,50,24,False,False,False,4,26,30,tuple_edge_2294,2294,1|1|4|30|2294
False,09_12,9:28,12:58,9,12,28,58,24,False,False,False,4,34,38,tuple_edge_2322,2322,1|1|4|38|2322
False,09_12,9:19,12:49,9,12,19,49,24,False,False,False,5,25,30,tuple_edge_2287,2287,1|1|5|30|2287
False,09_12,9:29,12:59,9,12,29,59,24,False,False,False,5,35,40,tuple_edge_2327,2327,1|1|5|40|2327
False,09_12,9:18,12:48,9,12,18,48,24,False,False,False,6,24,30,tuple_edge_2282,2282,1|1|6|30|2282
False,09_12,9:30,12:0,9,12,30,0,24,False,False,False,6,24,30,tuple_edge_2334,2334,1|1|6|30|2334
False,09_12,9:17,12:47,9,12,17,47,24,False,False,False,7,23,30,tuple_edge_2277,2277,1|1|7|30|2277
False,09_12,9:31,12:1,9,12,31,1,24,False,False,False,7,23,30,tuple_edge_2339,2339,1|1|7|30|2339
False,09_12,9:16,12:46,9,12,16,46,24,False,False,False,8,22,30,tuple_edge_2273,2273,1|1|8|30|2273
False,09_12,9:32,12:2,9,12,32,2,24,False,False,False,8,22,30,tuple_edge_2344,2344,1|1|8|30|2344
False,09_12,9:15,12:45,9,12,15,45,24,False,False,False,9,21,30,tuple_edge_2269,2269,1|1|9|30|2269
False,09_12,9:33,12:3,9,12,33,3,24,False,False,False,9,21,30,tuple_edge_2347,2347,1|1|9|30|2347
False,09_12,9:14,12:44,9,12,14,44,24,False,False,False,10,20,30,tuple_edge_2265,2265,1|1|10|30|2265
False,09_12,9:34,12:4,9,12,34,4,24,False,False,False,10,20,30,tuple_edge_2349,2349,1|1|10|30|2349
False,09_12,9:13,12:43,9,12,13,43,24,False,False,False,11,19,30,tuple_edge_2260,2260,1|1|11|30|2260
False,09_12,9:35,12:5,9,12,35,5,24,False,False,False,11,19,30,tuple_edge_2352,2352,1|1|11|30|2352
False,09_12,9:12,12:42,9,12,12,42,24,False,False,False,12,18,30,tuple_edge_2254,2254,1|1|12|30|2254
False,09_12,9:36,12:6,9,12,36,6,24,False,False,False,12,18,30,tuple_edge_2354,2354,1|1|12|30|2354
False,09_12,9:11,12:41,9,12,11,41,24,False,False,False,13,17,30,tuple_edge_2248,2248,1|1|13|30|2248
False,09_12,9:37,12:7,9,12,37,7,24,False,False,False,13,17,30,tuple_edge_2357,2357,1|1|13|30|2357
False,09_12,9:10,12:40,9,12,10,40,24,False,False,False,14,16,30,tuple_edge_2243,2243,1|1|14|30|2243
False,09_12,9:38,12:8,9,12,38,8,24,False,False,False,14,16,30,tuple_edge_2362,2362,1|1|14|30|2362
False,09_12,9:9,12:39,9,12,9,39,24,False,False,False,15,15,30,tuple_edge_2235,2235,1|1|15|30|2235
False,09_12,9:39,12:9,9,12,39,9,24,False,False,False,15,15,30,tuple_edge_2367,2367,1|1|15|30|2367
False,09_12,9:8,12:38,9,12,8,38,24,False,False,False,16,14,30,tuple_edge_2229,2229,1|1|16|30|2229
False,09_12,9:40,12:10,9,12,40,10,24,False,False,False,16,14,30,tuple_edge_2374,2374,1|1|16|30|2374
False,09_12,9:7,12:37,9,12,7,37,24,False,False,False,17,13,30,tuple_edge_2223,2223,1|1|17|30|2223
False,09_12,9:41,12:11,9,12,41,11,24,False,False,False,17,13,30,tuple_edge_2379,2379,1|1|17|30|2379
False,09_12,9:6,12:36,9,12,6,36,24,False,False,False,18,12,30,tuple_edge_2217,2217,1|1|18|30|2217
False,09_12,9:42,12:12,9,12,42,12,24,False,False,False,18,12,30,tuple_edge_2384,2384,1|1|18|30|2384
False,09_12,9:5,12:35,9,12,5,35,24,False,False,False,19,11,30,tuple_edge_2211,2211,1|1|19|30|2211
False,09_12,9:43,12:13,9,12,43,13,24,False,False,False,19,11,30,tuple_edge_2387,2387,1|1|19|30|2387
False,09_12,9:4,12:34,9,12,4,34,24,False,False,False,20,10,30,tuple_edge_2205,2205,1|1|20|30|2205
False,09_12,9:44,12:14,9,12,44,14,24,False,False,False,20,10,30,tuple_edge_2389,2389,1|1|20|30|2389
False,09_12,9:3,12:33,9,12,3,33,24,False,False,False,21,9,30,tuple_edge_2199,2199,1|1|21|30|2199
False,09_12,9:45,12:15,9,12,45,15,24,False,False,False,21,9,30,tuple_edge_2392,2392,1|1|21|30|2392
False,09_12,9:2,12:32,9,12,2,32,24,False,False,False,22,8,30,tuple_edge_2193,2193,1|1|22|30|2193
False,09_12,9:46,12:16,9,12,46,16,24,False,False,False,22,8,30,tuple_edge_2394,2394,1|1|22|30|2394
False,09_12,9:1,12:31,9,12,1,31,24,False,False,False,23,7,30,tuple_edge_2187,2187,1|1|23|30|2187
False,09_12,9:47,12:17,9,12,47,17,24,False,False,False,23,7,30,tuple_edge_2397,2397,1|1|23|30|2397
False,09_12,9:0,12:30,9,12,0,30,24,False,False,False,24,6,30,tuple_edge_2181,2181,1|1|24|30|2181
False,09_12,9:48,12:18,9,12,48,18,24,False,False,False,24,6,30,tuple_edge_2402,2402,1|1|24|30|2402
False,09_12,9:49,12:19,9,12,49,19,24,False,False,False,25,5,30,tuple_edge_2407,2407,1|1|25|30|2407
False,09_12,9:50,12:20,9,12,50,20,24,False,False,False,26,4,30,tuple_edge_2413,2413,1|1|26|30|2413
False,09_12,9:51,12:21,9,12,51,21,24,False,False,False,27,3,30,tuple_edge_2416,2416,1|1|27|30|2416
False,09_12,9:52,12:22,9,12,52,22,24,False,False,False,28,2,30,tuple_edge_2420,2420,1|1|28|30|2420
False,09_12,9:53,12:23,9,12,53,23,24,False,False,False,29,1,30,tuple_edge_2423,2423,1|1|29|30|2423
False,09_12,9:55,12:25,9,12,55,25,24,False,False,False,31,1,32,tuple_edge_2427,2427,1|1|31|32|2427
False,09_12,9:56,12:26,9,12,56,26,24,False,False,False,32,2,34,tuple_edge_2429,2429,1|1|32|34|2429
False,09_12,9:57,12:27,9,12,57,27,24,False,False,False,33,3,36,tuple_edge_2431,2431,1|1|33|36|2431
False,09_12,9:58,12:28,9,12,58,28,24,False,False,False,34,4,38,tuple_edge_2433,2433,1|1|34|38|2433
False,09_12,9:59,12:29,9,12,59,29,24,False,False,False,35,5,40,tuple_edge_2435,2435,1|1|35|40|2435
