feature,feature_kind,feature_name,denied_count,allowed_counts,denied_present,allowed_present_count,denied_only_presence,allowed_only_presence,present_all_allowed_absent_denied,count_distinguishes_denial,feature_status,promoted_to_source_law,promoted_to_admission
matched_field:missing_role_token,matched_field,missing_role_token,2,0 0 0 0 0,true,0,true,false,false,true,direct_denied_only_cause_candidate_not_law,false,false
permission_status:denied_visible_edge,permission_status,denied_visible_edge,50,0 0 0 0 0,true,0,true,false,false,true,direct_denied_only_cause_candidate_not_law,false,false
position_class:prefix_terminal_edge,position_class,prefix_terminal_edge,1,0 0 0 0 0,true,0,true,false,false,true,direct_denied_only_cause_candidate_not_law,false,false
permission_status:allowed_local_member,permission_status,allowed_local_member,0,3 3 54 39 238,false,5,false,true,true,true,allowed_only_contrast_candidate_not_law,false,false
context_keyword:boundary,context_keyword,boundary,14,0 0 17 12 29,true,3,false,false,false,true,count_fingerprint_not_cause,false,false
context_keyword:boundary_carrier,context_keyword,boundary_carrier,13,0 0 16 11 29,true,3,false,false,false,true,count_fingerprint_not_cause,false,false
context_keyword:carrier,context_keyword,carrier,14,0 0 17 12 36,true,3,false,false,false,true,count_fingerprint_not_cause,false,false
context_keyword:token,context_keyword,token,3,0 0 4 1 4,true,3,false,false,false,true,count_fingerprint_not_cause,false,false
matched_field:token,matched_field,token,2,0 0 1 1 1,true,3,false,false,false,true,count_fingerprint_not_cause,false,false
numeric:construction_csv_row_hit_count,numeric,construction_csv_row_hit_count,1107,75 51 1298 1050 1457,true,5,false,false,false,true,count_fingerprint_not_cause,false,false
numeric:construction_file_hit_count,numeric,construction_file_hit_count,17,1 1 19 16 73,true,5,false,false,false,true,count_fingerprint_not_cause,false,false
numeric:csv_row_hit_count,numeric,csv_row_hit_count,1602,77 53 1711 1454 2133,true,5,false,false,false,true,count_fingerprint_not_cause,false,false
numeric:other_file_hit_count,numeric,other_file_hit_count,5,0 0 7 4 98,true,3,false,false,false,true,count_fingerprint_not_cause,false,false
numeric:source_file_hit_count,numeric,source_file_hit_count,50,3 3 54 39 238,true,5,false,false,false,true,count_fingerprint_not_cause,false,false
source_bucket:projection_exception,source_bucket,projection_exception,3,0 0 2 2 2,true,3,false,false,false,true,count_fingerprint_not_cause,false,false
source_class:construction_surface,source_class,construction_surface,17,1 1 19 16 73,true,5,false,false,false,true,count_fingerprint_not_cause,false,false
source_class:other_surface,source_class,other_surface,5,0 0 7 4 98,true,3,false,false,false,true,count_fingerprint_not_cause,false,false
context_keyword:endpoint_incidence,context_keyword,endpoint_incidence,1,0 0 1 1 1,true,3,false,false,false,false,not_distinguishing,false,false
context_keyword:exact_packet,context_keyword,exact_packet,0,0 0 1 0 0,false,1,false,true,false,false,not_distinguishing,false,false
context_keyword:family_key,context_keyword,family_key,3,0 0 3 2 3,true,3,false,false,false,false,not_distinguishing,false,false
context_keyword:hit_signature,context_keyword,hit_signature,2,0 0 1 2 1,true,3,false,false,false,false,not_distinguishing,false,false
context_keyword:internal_carrier,context_keyword,internal_carrier,7,0 0 5 7 9,true,3,false,false,false,false,not_distinguishing,false,false
context_keyword:missing_target_anchor_edge,context_keyword,missing_target_anchor_edge,1,1 1 1 1 1,true,5,false,false,false,false,not_distinguishing,false,false
context_keyword:near_miss,context_keyword,near_miss,0,1 1 0 0 0,false,2,false,true,false,false,not_distinguishing,false,false
context_keyword:needs_new_gate_receipt,context_keyword,needs_new_gate_receipt,3,0 0 3 3 3,true,3,false,false,false,false,not_distinguishing,false,false
context_keyword:not_admitted,context_keyword,not_admitted,1,0 0 2 1 1,true,3,false,false,false,false,not_distinguishing,false,false
context_keyword:permission,context_keyword,permission,0,0 0 0 0 2,false,1,false,true,false,false,not_distinguishing,false,false
context_keyword:return_cell,context_keyword,return_cell,0,0 0 0 0 26,false,1,false,true,false,false,not_distinguishing,false,false
context_keyword:role_pairs,context_keyword,role_pairs,4,0 0 4 2 5,true,3,false,false,false,false,not_distinguishing,false,false
context_keyword:sample_tokens,context_keyword,sample_tokens,0,0 0 1 0 1,false,2,false,true,false,false,not_distinguishing,false,false
context_keyword:slot_pair_boundary_carrier,context_keyword,slot_pair_boundary_carrier,2,0 0 3 1 2,true,3,false,false,false,false,not_distinguishing,false,false
context_keyword:structural_incidence,context_keyword,structural_incidence,1,0 0 1 1 1,true,3,false,false,false,false,not_distinguishing,false,false
matched_field:artifact,matched_field,artifact,0,0 0 0 0 1,false,1,false,true,false,false,not_distinguishing,false,false
matched_field:blocked_reason,matched_field,blocked_reason,0,0 0 0 0 1,false,1,false,true,false,false,not_distinguishing,false,false
matched_field:boundary_carrier_id,matched_field,boundary_carrier_id,0,0 0 0 0 4,false,1,false,true,false,false,not_distinguishing,false,false
matched_field:candidate_id,matched_field,candidate_id,1,0 0 1 1 1,true,3,false,false,false,false,not_distinguishing,false,false
matched_field:claim,matched_field,claim,0,0 0 0 0 1,false,1,false,true,false,false,not_distinguishing,false,false
matched_field:closed_result,matched_field,closed_result,0,0 0 0 0 1,false,1,false,true,false,false,not_distinguishing,false,false
matched_field:direct_edge_token,matched_field,direct_edge_token,1,1 1 1 1 1,true,5,false,false,false,false,not_distinguishing,false,false
matched_field:evidence,matched_field,evidence,1,0 0 1 1 1,true,3,false,false,false,false,not_distinguishing,false,false
matched_field:examples,matched_field,examples,2,0 0 2 0 0,true,1,false,false,false,false,not_distinguishing,false,false
matched_field:expected_role_pairs,matched_field,expected_role_pairs,1,0 0 1 1 1,true,3,false,false,false,false,not_distinguishing,false,false
matched_field:family_key,matched_field,family_key,5,0 0 5 5 5,true,3,false,false,false,false,not_distinguishing,false,false
matched_field:fields,matched_field,fields,0,0 0 0 0 1,false,1,false,true,false,false,not_distinguishing,false,false
matched_field:hit_signature,matched_field,hit_signature,2,0 0 2 2 2,true,3,false,false,false,false,not_distinguishing,false,false
matched_field:matched_tokens,matched_field,matched_tokens,1,1 1 1 1 1,true,5,false,false,false,false,not_distinguishing,false,false
matched_field:path,matched_field,path,0,0 0 0 0 4,false,1,false,true,false,false,not_distinguishing,false,false
matched_field:primary_rail_id,matched_field,primary_rail_id,1,0 0 1 0 1,true,2,false,false,false,false,not_distinguishing,false,false
matched_field:purpose,matched_field,purpose,0,0 0 0 0 1,false,1,false,true,false,false,not_distinguishing,false,false
matched_field:reverse_edge_token,matched_field,reverse_edge_token,1,1 1 1 1 1,true,5,false,false,false,false,not_distinguishing,false,false
matched_field:role_pairs,matched_field,role_pairs,9,1 1 9 9 9,true,5,false,false,false,false,not_distinguishing,false,false
matched_field:role_tokens,matched_field,role_tokens,4,0 0 4 2 4,true,3,false,false,false,false,not_distinguishing,false,false
matched_field:sample_hit_paths,matched_field,sample_hit_paths,1,0 0 1 1 1,true,3,false,false,false,false,not_distinguishing,false,false
matched_field:sample_role_tokens,matched_field,sample_role_tokens,2,0 0 2 2 2,true,3,false,false,false,false,not_distinguishing,false,false
matched_field:sample_tokens,matched_field,sample_tokens,1,0 0 1 1 1,true,3,false,false,false,false,not_distinguishing,false,false
matched_field:seed_value,matched_field,seed_value,0,0 0 0 0 1,false,1,false,true,false,false,not_distinguishing,false,false
matched_field:seed_value_a,matched_field,seed_value_a,0,0 0 0 0 2,false,1,false,true,false,false,not_distinguishing,false,false
matched_field:segment_role,matched_field,segment_role,0,0 0 0 0 8,false,1,false,true,false,false,not_distinguishing,false,false
matched_field:selector_expression,matched_field,selector_expression,0,0 0 0 0 2,false,1,false,true,false,false,not_distinguishing,false,false
matched_field:source_evidence,matched_field,source_evidence,1,0 0 1 1 1,true,3,false,false,false,false,not_distinguishing,false,false
matched_field:source_rail_id,matched_field,source_rail_id,2,0 0 2 2 2,true,3,false,false,false,false,not_distinguishing,false,false
matched_field:support_rails,matched_field,support_rails,0,0 0 0 0 2,false,1,false,true,false,false,not_distinguishing,false,false
matched_field:target_rail_id,matched_field,target_rail_id,2,0 0 3 2 2,true,3,false,false,false,false,not_distinguishing,false,false
matched_field:values,matched_field,values,0,0 0 0 0 1,false,1,false,true,false,false,not_distinguishing,false,false
numeric:choice_excluded_file_hit_count,numeric,choice_excluded_file_hit_count,19,2 2 19 12 26,true,5,false,false,false,false,not_distinguishing,false,false
numeric:prior_transport_file_hit_count,numeric,prior_transport_file_hit_count,9,0 0 9 7 41,true,3,false,false,false,false,not_distinguishing,false,false
position_class:internal_adjacent_edge,position_class,internal_adjacent_edge,0,0 0 1 0 0,false,1,false,true,false,false,not_distinguishing,false,false
position_class:long_jump,position_class,long_jump,0,0 1 0 0 0,false,1,false,true,false,false,not_distinguishing,false,false
position_class:skip_one_jump,position_class,skip_one_jump,0,1 0 0 1 0,false,2,false,true,false,false,not_distinguishing,false,false
position_class:suffix_terminal_edge,position_class,suffix_terminal_edge,0,0 0 0 0 1,false,1,false,true,false,false,not_distinguishing,false,false
source_bucket:candidate_family_census_014,source_bucket,candidate_family_census_014,2,1 1 3 2 4,true,5,false,false,false,false,not_distinguishing,false,false
source_bucket:carrier,source_bucket,carrier,1,0 0 1 1 1,true,3,false,false,false,false,not_distinguishing,false,false
source_bucket:channel_candidate,source_bucket,channel_candidate,2,0 0 2 2 2,true,3,false,false,false,false,not_distinguishing,false,false
source_bucket:channel_source,source_bucket,channel_source,2,0 0 2 2 2,true,3,false,false,false,false,not_distinguishing,false,false
source_bucket:deferred,source_bucket,deferred,5,0 0 5 5 5,true,3,false,false,false,false,not_distinguishing,false,false
source_bucket:edge_limit_phase,source_bucket,edge_limit_phase,1,0 0 1 0 1,true,2,false,false,false,false,not_distinguishing,false,false
source_bucket:edge_overlap,source_bucket,edge_overlap,0,0 0 3 0 0,false,1,false,true,false,false,not_distinguishing,false,false
source_bucket:endpoint_incidence,source_bucket,endpoint_incidence,1,0 0 1 1 2,true,3,false,false,false,false,not_distinguishing,false,false
source_bucket:full60,source_bucket,full60,1,0 0 1 1 16,true,3,false,false,false,false,not_distinguishing,false,false
source_bucket:other,source_bucket,other,21,0 0 21 12 144,true,3,false,false,false,false,not_distinguishing,false,false
source_bucket:permission,source_bucket,permission,5,2 2 5 5 17,true,5,false,false,false,false,not_distinguishing,false,false
source_bucket:return_cell,source_bucket,return_cell,2,0 0 2 2 38,true,3,false,false,false,false,not_distinguishing,false,false
source_bucket:root_smoke,source_bucket,root_smoke,2,0 0 3 2 2,true,3,false,false,false,false,not_distinguishing,false,false
source_bucket:slot_pair,source_bucket,slot_pair,1,0 0 1 1 1,true,3,false,false,false,false,not_distinguishing,false,false
source_bucket:successor_rule,source_bucket,successor_rule,1,0 0 1 1 1,true,3,false,false,false,false,not_distinguishing,false,false
source_class:choice_surface_excluded,source_class,choice_surface_excluded,19,2 2 19 12 26,true,5,false,false,false,false,not_distinguishing,false,false
source_class:prior_transport_surface,source_class,prior_transport_surface,9,0 0 9 7 41,true,3,false,false,false,false,not_distinguishing,false,false
