row_index,slot,local,root,edge_count,vertex_count,edge_hit_count,max_edge_overlap,max_vertex_overlap,entry_count,internal_entry_count,boundary_entry_count,max_pair,all_target_internal_5_4,all_cluster_carriers_present,slot_05_internal_carrier,slot_08_internal_carrier,slot_10_internal_carrier,slot_14_internal_carrier,slot_pair_04_05_boundary_carrier,slot_pair_05_10_boundary_carrier,slot_pair_05_14_boundary_carrier,is_target_surface,hit_signature_prefix_120,promoted_to_source_law,promoted_to_admission
841,14,0,14:0,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
842,14,1,14:1,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
843,14,2,14:2,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
844,14,3,14:3,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
845,14,4,14:4,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
846,14,5,14:5,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
847,14,6,14:6,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
848,14,7,14:7,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
849,14,8,14:8,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
850,14,9,14:9,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
851,14,10,14:10,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
852,14,11,14:11,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
853,14,12,14:12,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
854,14,13,14:13,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
855,14,14,14:14,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
856,14,15,14:15,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
857,14,16,14:16,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
858,14,17,14:17,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
859,14,18,14:18,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
860,14,19,14:19,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
861,14,20,14:20,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
862,14,21,14:21,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
863,14,22,14:22,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
864,14,23,14:23,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
865,14,24,14:24,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
866,14,25,14:25,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
867,14,26,14:26,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
868,14,27,14:27,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
869,14,28,14:28,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
870,14,29,14:29,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
871,14,30,14:30,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
872,14,31,14:31,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
873,14,32,14:32,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
874,14,33,14:33,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
875,14,34,14:34,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
876,14,35,14:35,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
877,14,36,14:36,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
878,14,37,14:37,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
879,14,38,14:38,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
880,14,39,14:39,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
881,14,40,14:40,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
882,14,41,14:41,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
883,14,42,14:42,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
884,14,43,14:43,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
885,14,44,14:44,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
886,14,45,14:45,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
887,14,46,14:46,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
888,14,47,14:47,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
889,14,48,14:48,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
890,14,49,14:49,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
891,14,50,14:50,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
892,14,51,14:51,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
893,14,52,14:52,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
894,14,53,14:53,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
895,14,54,14:54,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
896,14,55,14:55,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
897,14,56,14:56,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
898,14,57,14:57,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
899,14,58,14:58,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
900,14,59,14:59,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
